Article ID,Article Code ID,Email Reply Code ID,Replication Amount ID,Reproducibility Effort ID,ICERM Criteria 1,ICERM Criteria 2,ICERM Criteria 3,ICERM Criteria 4,ICERM Criteria 5,ICERM Criteria 6,ICERM Criteria 7,ICERM Criteria 9,ICERM Criteria 10,ICERM Criteria 11,ICERM Criteria 12,ICERM Criteria 13,ICERM Criteria 14,ICERM Criteria 15,ICERM Criteria 16,ICERM Criteria 17,ICERM Criteria 18,ICERM Criteria 19,ICERM Criteria 20
0,0,7,,,,,,,,,,,,,,,,,,,,,
2,5,,2,3,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
3,0,0,,,,,,,,,,,,,,,,,,,,,
4,0,4,,,,,,,,,,,,,,,,,,,,,
6,1,0,,,,,,,,,,,,,,,,,,,,,
16,1,8,,,,,,,,,,,,,,,,,,,,,
18,0,3,,,,,,,,,,,,,,,,,,,,,
19,1,4,,,,,,,,,,,,,,,,,,,,,
25,1,0,,,,,,,,,,,,,,,,,,,,,
27,0,4,,,,,,,,,,,,,,,,,,,,,
28,0,3,,,,,,,,,,,,,,,,,,,,,
29,0,0,,,,,,,,,,,,,,,,,,,,,
30,0,12,3,5,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1
31,1,6,,,,,,,,,,,,,,,,,,,,,
33,4,1,2,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
38,0,3,,,,,,,,,,,,,,,,,,,,,
44,0,0,,,,,,,,,,,,,,,,,,,,,
46,0,8,,,,,,,,,,,,,,,,,,,,,
54,0,0,,,,,,,,,,,,,,,,,,,,,
56,0,0,,,,,,,,,,,,,,,,,,,,,
64,0,4,,,,,,,,,,,,,,,,,,,,,
67,1,0,,,,,,,,,,,,,,,,,,,,,
72,0,0,,,,,,,,,,,,,,,,,,,,,
73,0,0,,,,,,,,,,,,,,,,,,,,,
74,1,0,,,,,,,,,,,,,,,,,,,,,
77,1,4,,,,,,,,,,,,,,,,,,,,,
79,1,12,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
80,1,7,,,,,,,,,,,,,,,,,,,,,
82,1,3,,,,,,,,,,,,,,,,,,,,,
83,0,12,3,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
84,0,6,,,,,,,,,,,,,,,,,,,,,
86,0,12,2,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
92,0,0,,,,,,,,,,,,,,,,,,,,,
93,0,3,,,,,,,,,,,,,,,,,,,,,
95,0,4,,,,,,,,,,,,,,,,,,,,,
98,0,4,,,,,,,,,,,,,,,,,,,,,
102,0,4,,,,,,,,,,,,,,,,,,,,,
118,0,12,3,5,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
125,1,12,3,6,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0
127,1,0,,,,,,,,,,,,,,,,,,,,,
128,1,0,,,,,,,,,,,,,,,,,,,,,
130,4,10,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1
134,0,4,,,,,,,,,,,,,,,,,,,,,
135,0,0,,,,,,,,,,,,,,,,,,,,,
141,1,3,,,,,,,,,,,,,,,,,,,,,
143,1,6,,,,,,,,,,,,,,,,,,,,,
145,1,0,,,,,,,,,,,,,,,,,,,,,
147,0,8,,,,,,,,,,,,,,,,,,,,,
151,0,8,,,,,,,,,,,,,,,,,,,,,
161,1,12,2,5,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1
164,0,0,,,,,,,,,,,,,,,,,,,,,
165,1,4,,,,,,,,,,,,,,,,,,,,,
166,1,12,2,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1
168,1,3,,,,,,,,,,,,,,,,,,,,,
170,0,4,,,,,,,,,,,,,,,,,,,,,
171,0,3,,,,,,,,,,,,,,,,,,,,,
173,1,7,,,,,,,,,,,,,,,,,,,,,
178,1,0,,,,,,,,,,,,,,,,,,,,,
183,0,0,,,,,,,,,,,,,,,,,,,,,
186,0,4,,,,,,,,,,,,,,,,,,,,,
187,0,0,,,,,,,,,,,,,,,,,,,,,
191,0,3,,,,,,,,,,,,,,,,,,,,,
194,0,4,,,,,,,,,,,,,,,,,,,,,
200,0,4,,,,,,,,,,,,,,,,,,,,,
202,0,0,,,,,,,,,,,,,,,,,,,,,
203,1,0,,,,,,,,,,,,,,,,,,,,,
205,0,3,,,,,,,,,,,,,,,,,,,,,
206,1,1,,,,,,,,,,,,,,,,,,,,,
207,1,4,,,,,,,,,,,,,,,,,,,,,
214,0,4,,,,,,,,,,,,,,,,,,,,,
222,0,0,,,,,,,,,,,,,,,,,,,,,
223,0,0,,,,,,,,,,,,,,,,,,,,,
235,1,12,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0
236,0,0,,,,,,,,,,,,,,,,,,,,,
237,1,4,,,,,,,,,,,,,,,,,,,,,
239,0,0,,,,,,,,,,,,,,,,,,,,,
240,0,0,,,,,,,,,,,,,,,,,,,,,
243,1,0,,,,,,,,,,,,,,,,,,,,,
245,1,0,,,,,,,,,,,,,,,,,,,,,
253,1,9,2,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
254,0,4,,,,,,,,,,,,,,,,,,,,,
255,0,3,,,,,,,,,,,,,,,,,,,,,
265,0,0,,,,,,,,,,,,,,,,,,,,,
266,0,12,3,5,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1
267,0,1,,,,,,,,,,,,,,,,,,,,,
271,5,,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1
273,1,3,,,,,,,,,,,,,,,,,,,,,
276,0,4,,,,,,,,,,,,,,,,,,,,,
283,0,0,,,,,,,,,,,,,,,,,,,,,
285,0,12,2,4,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1
286,0,0,,,,,,,,,,,,,,,,,,,,,
291,1,6,,,,,,,,,,,,,,,,,,,,,
299,1,0,,,,,,,,,,,,,,,,,,,,,
300,0,12,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0
303,0,4,,,,,,,,,,,,,,,,,,,,,
304,0,0,,,,,,,,,,,,,,,,,,,,,
306,1,4,,,,,,,,,,,,,,,,,,,,,
309,0,12,2,4,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
314,0,0,,,,,,,,,,,,,,,,,,,,,
316,0,4,,,,,,,,,,,,,,,,,,,,,
318,0,4,,,,,,,,,,,,,,,,,,,,,
319,4,6,,,,,,,,,,,,,,,,,,,,,
322,1,4,,,,,,,,,,,,,,,,,,,,,
324,0,0,,,,,,,,,,,,,,,,,,,,,
327,1,0,,,,,,,,,,,,,,,,,,,,,
329,0,3,,,,,,,,,,,,,,,,,,,,,
331,1,6,,,,,,,,,,,,,,,,,,,,,
335,1,0,,,,,,,,,,,,,,,,,,,,,
339,1,4,,,,,,,,,,,,,,,,,,,,,
341,0,12,2,4,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
346,1,12,2,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1
349,2,6,,,,,,,,,,,,,,,,,,,,,
358,0,4,,,,,,,,,,,,,,,,,,,,,
365,0,0,,,,,,,,,,,,,,,,,,,,,
367,0,12,3,6,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1
369,0,0,,,,,,,,,,,,,,,,,,,,,
373,1,0,,,,,,,,,,,,,,,,,,,,,
376,0,0,,,,,,,,,,,,,,,,,,,,,
378,1,12,2,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1
382,5,,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
385,1,12,2,2,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1
386,0,12,3,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1
387,0,0,,,,,,,,,,,,,,,,,,,,,
389,1,0,,,,,,,,,,,,,,,,,,,,,
390,1,0,,,,,,,,,,,,,,,,,,,,,
391,0,4,,,,,,,,,,,,,,,,,,,,,
393,0,0,,,,,,,,,,,,,,,,,,,,,
398,1,0,,,,,,,,,,,,,,,,,,,,,
405,0,4,,,,,,,,,,,,,,,,,,,,,
406,1,4,,,,,,,,,,,,,,,,,,,,,
408,0,0,,,,,,,,,,,,,,,,,,,,,
413,1,4,,,,,,,,,,,,,,,,,,,,,
416,1,6,,,,,,,,,,,,,,,,,,,,,
418,0,3,,,,,,,,,,,,,,,,,,,,,
421,0,4,,,,,,,,,,,,,,,,,,,,,
424,4,4,,,,,,,,,,,,,,,,,,,,,
425,0,0,,,,,,,,,,,,,,,,,,,,,
431,0,0,,,,,,,,,,,,,,,,,,,,,
437,1,4,,,,,,,,,,,,,,,,,,,,,
440,1,0,,,,,,,,,,,,,,,,,,,,,
442,1,4,,,,,,,,,,,,,,,,,,,,,
444,1,3,,,,,,,,,,,,,,,,,,,,,
447,1,4,,,,,,,,,,,,,,,,,,,,,
448,0,0,,,,,,,,,,,,,,,,,,,,,
450,0,0,,,,,,,,,,,,,,,,,,,,,
451,1,0,,,,,,,,,,,,,,,,,,,,,
452,1,7,,,,,,,,,,,,,,,,,,,,,
454,0,0,,,,,,,,,,,,,,,,,,,,,
456,1,7,,,,,,,,,,,,,,,,,,,,,
460,1,4,,,,,,,,,,,,,,,,,,,,,
482,0,0,,,,,,,,,,,,,,,,,,,,,
488,0,4,,,,,,,,,,,,,,,,,,,,,
490,1,0,,,,,,,,,,,,,,,,,,,,,
491,5,,2,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1
495,0,12,0,4,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
497,0,12,2,3,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
499,5,,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
513,0,7,,,,,,,,,,,,,,,,,,,,,
525,0,12,3,5,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
526,1,4,,,,,,,,,,,,,,,,,,,,,
530,0,7,,,,,,,,,,,,,,,,,,,,,
531,1,4,,,,,,,,,,,,,,,,,,,,,
532,0,4,,,,,,,,,,,,,,,,,,,,,
533,2,3,,,,,,,,,,,,,,,,,,,,,
534,1,6,,,,,,,,,,,,,,,,,,,,,
552,0,1,,,,,,,,,,,,,,,,,,,,,
555,1,4,,,,,,,,,,,,,,,,,,,,,
562,0,0,,,,,,,,,,,,,,,,,,,,,
563,1,12,2,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1
564,0,1,,,,,,,,,,,,,,,,,,,,,
570,1,3,,,,,,,,,,,,,,,,,,,,,
573,0,6,,,,,,,,,,,,,,,,,,,,,
575,2,12,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
577,0,4,,,,,,,,,,,,,,,,,,,,,
589,4,12,3,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1
592,0,4,,,,,,,,,,,,,,,,,,,,,
593,1,11,,,,,,,,,,,,,,,,,,,,,
594,0,12,2,5,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0
596,0,4,,,,,,,,,,,,,,,,,,,,,
600,0,4,,,,,,,,,,,,,,,,,,,,,
602,0,0,,,,,,,,,,,,,,,,,,,,,
612,0,3,,,,,,,,,,,,,,,,,,,,,
615,1,4,,,,,,,,,,,,,,,,,,,,,
616,1,4,,,,,,,,,,,,,,,,,,,,,
617,0,0,,,,,,,,,,,,,,,,,,,,,
618,0,4,,,,,,,,,,,,,,,,,,,,,
619,1,12,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1
621,1,4,,,,,,,,,,,,,,,,,,,,,
630,0,0,,,,,,,,,,,,,,,,,,,,,
635,0,0,,,,,,,,,,,,,,,,,,,,,
637,0,12,2,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
639,1,4,,,,,,,,,,,,,,,,,,,,,
644,1,0,,,,,,,,,,,,,,,,,,,,,
647,1,3,,,,,,,,,,,,,,,,,,,,,
649,0,8,,,,,,,,,,,,,,,,,,,,,
651,1,12,2,4,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
655,0,0,,,,,,,,,,,,,,,,,,,,,
659,1,8,,,,,,,,,,,,,,,,,,,,,
660,0,0,,,,,,,,,,,,,,,,,,,,,
664,0,0,,,,,,,,,,,,,,,,,,,,,
666,1,0,,,,,,,,,,,,,,,,,,,,,
667,0,0,,,,,,,,,,,,,,,,,,,,,
672,0,8,,,,,,,,,,,,,,,,,,,,,
676,1,0,,,,,,,,,,,,,,,,,,,,,
677,1,0,,,,,,,,,,,,,,,,,,,,,
681,1,3,,,,,,,,,,,,,,,,,,,,,
682,1,0,,,,,,,,,,,,,,,,,,,,,
684,0,1,,,,,,,,,,,,,,,,,,,,,
686,3,12,2,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1
687,0,3,,,,,,,,,,,,,,,,,,,,,
690,0,12,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1
691,0,3,,,,,,,,,,,,,,,,,,,,,
692,1,1,,,,,,,,,,,,,,,,,,,,,
696,0,0,,,,,,,,,,,,,,,,,,,,,
701,0,0,,,,,,,,,,,,,,,,,,,,,
703,0,3,,,,,,,,,,,,,,,,,,,,,
710,0,4,,,,,,,,,,,,,,,,,,,,,
717,0,6,,,,,,,,,,,,,,,,,,,,,
721,0,3,,,,,,,,,,,,,,,,,,,,,
724,1,8,,,,,,,,,,,,,,,,,,,,,
731,0,0,,,,,,,,,,,,,,,,,,,,,
733,0,4,,,,,,,,,,,,,,,,,,,,,
734,0,4,,,,,,,,,,,,,,,,,,,,,
735,0,3,,,,,,,,,,,,,,,,,,,,,
739,1,7,,,,,,,,,,,,,,,,,,,,,
740,1,4,,,,,,,,,,,,,,,,,,,,,
751,0,4,,,,,,,,,,,,,,,,,,,,,
752,0,12,2,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0
754,0,12,3,5,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1
758,0,6,,,,,,,,,,,,,,,,,,,,,
761,0,4,,,,,,,,,,,,,,,,,,,,,
762,0,4,,,,,,,,,,,,,,,,,,,,,
769,0,4,,,,,,,,,,,,,,,,,,,,,
774,0,1,,,,,,,,,,,,,,,,,,,,,
775,1,3,,,,,,,,,,,,,,,,,,,,,
776,1,4,,,,,,,,,,,,,,,,,,,,,
788,1,4,,,,,,,,,,,,,,,,,,,,,
794,0,0,,,,,,,,,,,,,,,,,,,,,
795,0,6,,,,,,,,,,,,,,,,,,,,,
801,1,1,,,,,,,,,,,,,,,,,,,,,
806,0,4,,,,,,,,,,,,,,,,,,,,,
808,0,0,,,,,,,,,,,,,,,,,,,,,
812,0,0,,,,,,,,,,,,,,,,,,,,,
815,1,4,,,,,,,,,,,,,,,,,,,,,
816,0,6,,,,,,,,,,,,,,,,,,,,,
822,0,0,,,,,,,,,,,,,,,,,,,,,
823,0,0,,,,,,,,,,,,,,,,,,,,,
825,0,12,2,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
829,1,0,,,,,,,,,,,,,,,,,,,,,
831,0,8,,,,,,,,,,,,,,,,,,,,,
839,0,4,,,,,,,,,,,,,,,,,,,,,
848,0,12,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0
849,1,2,,,,,,,,,,,,,,,,,,,,,
850,0,0,,,,,,,,,,,,,,,,,,,,,
855,0,4,,,,,,,,,,,,,,,,,,,,,
856,0,0,,,,,,,,,,,,,,,,,,,,,
858,0,0,,,,,,,,,,,,,,,,,,,,,
861,4,9,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1
866,0,6,,,,,,,,,,,,,,,,,,,,,
871,1,3,,,,,,,,,,,,,,,,,,,,,
872,0,12,3,5,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1
873,0,0,,,,,,,,,,,,,,,,,,,,,
883,0,8,,,,,,,,,,,,,,,,,,,,,
889,1,0,,,,,,,,,,,,,,,,,,,,,
891,0,12,3,6,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
893,0,0,,,,,,,,,,,,,,,,,,,,,
905,1,8,,,,,,,,,,,,,,,,,,,,,
906,1,4,,,,,,,,,,,,,,,,,,,,,
911,0,1,,,,,,,,,,,,,,,,,,,,,
912,0,8,,,,,,,,,,,,,,,,,,,,,
914,1,0,,,,,,,,,,,,,,,,,,,,,
917,0,4,,,,,,,,,,,,,,,,,,,,,
918,1,12,3,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1
922,1,12,2,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0
924,1,12,3,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
927,0,0,,,,,,,,,,,,,,,,,,,,,
937,0,12,2,5,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1
938,1,0,,,,,,,,,,,,,,,,,,,,,
939,0,8,,,,,,,,,,,,,,,,,,,,,
943,0,4,,,,,,,,,,,,,,,,,,,,,
956,0,12,2,4,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0
963,0,0,,,,,,,,,,,,,,,,,,,,,
965,1,0,,,,,,,,,,,,,,,,,,,,,
966,1,1,,,,,,,,,,,,,,,,,,,,,
970,0,4,,,,,,,,,,,,,,,,,,,,,
974,1,1,,,,,,,,,,,,,,,,,,,,,
975,0,0,,,,,,,,,,,,,,,,,,,,,
976,0,12,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
979,0,4,,,,,,,,,,,,,,,,,,,,,
981,0,4,,,,,,,,,,,,,,,,,,,,,
985,0,12,3,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1
986,0,4,,,,,,,,,,,,,,,,,,,,,
995,0,4,,,,,,,,,,,,,,,,,,,,,
996,5,,3,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
997,1,4,,,,,,,,,,,,,,,,,,,,,
999,0,3,,,,,,,,,,,,,,,,,,,,,
1000,3,12,3,6,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1
1002,0,0,,,,,,,,,,,,,,,,,,,,,
1008,0,5,,,,,,,,,,,,,,,,,,,,,
1010,0,0,,,,,,,,,,,,,,,,,,,,,
1012,1,0,,,,,,,,,,,,,,,,,,,,,
1014,1,0,,,,,,,,,,,,,,,,,,,,,
1018,0,7,,,,,,,,,,,,,,,,,,,,,
1019,1,0,,,,,,,,,,,,,,,,,,,,,
1020,0,0,,,,,,,,,,,,,,,,,,,,,
1021,1,8,,,,,,,,,,,,,,,,,,,,,
